id,name,source,phase
kiccho,吉兆,web_research,phase1
haruka,はるか,web_research,phase1
hitachi-miyabi-zakura,ひたち雅,web_research,phase1
afterglow,アフターグロウ,web_research,phase1
omoidezakura,思い出桜,alias_update,phase1
hanakagami,花鏡,alias_update,phase1
hananokai-898e986c,彼岸台桜,hananokai,phase2
hananokai-89262331,ヒュペヘンシス？,hananokai,phase2
hananokai-6f57a8cf,鵯桜,hananokai,phase2
hananokai-89341e6b,弘前雪明かり,hananokai,phase2
hananokai-c798e897,斑入り枝垂桜,hananokai,phase2
hananokai-1f58aa84,富士桜 黄白散斑,hananokai,phase2
hananokai-08ff7e85,プシリフローラ × ユンナエンシス？,hananokai,phase2
hananokai-7c430f92,紅花高盆桜桃？,hananokai,phase2
hananokai-9c19f6b6,宝珠桜,hananokai,phase2
hananokai-5ef1d7c4,ホクサイ,hananokai,phase2
hananokai-c24a9a3a,ホクサイ異種,hananokai,phase2
hananokai-eb4269d3,北鵬,hananokai,phase2
hananokai-2f1d9176,ホソカワベニ,hananokai,phase2
hananokai-057539be,増山,hananokai,phase2
hananokai-16e62abe,松前大潮,hananokai,phase2
hananokai-dcbdbaec,松前花染衣,hananokai,phase2
hananokai-eda3eee4,松前紅珠恵,hananokai,phase2
729,実生無名（妹背729実生）,hananokai,phase2
730,実生無名（妹背730実生）,hananokai,phase2
1224,実生無名（奥州里桜1224実生）,hananokai,phase2
869,実生無名（松前八重寿869実生）,hananokai,phase2
270,実生無名（御車返し270実生）,hananokai,phase2
hananokai-5ed43f2d,明正寺,hananokai,phase2
hananokai-dc4df304,明徳慈眼桜,hananokai,phase2
hananokai-07dc44ed,霧社桜,hananokai,phase2
hananokai-ead6dabc,森小町,hananokai,phase2
