accolade	アーコレード	あーこれーど	
aizu-usuzumi	会津薄墨	あいづうすずみ	
akashinju	赤真珠	あかしんじゅ	
akatsuki-naden	暁南殿	あかつきなでん	
akabana-mazakura	赤花真桜	あかばなまざくら	
akami-ohshima	赤実大島	あかみおおしま	
agishi-kogiku-zakura	阿岸小菊桜	あぎしこぎくざくら	
asahiyama	旭山	あさひやま	朝日山
azumanishiki	東錦	あずまにしき	
atamizakura	熱海桜	あたみざくら	
akkeshi-taizanfukun	厚岸泰山府君	あっけしたいざんふくん	
amagiyoshino	天城吉野	あまぎよしの	
amanogawa	天の川	あまのがわ	
amayadori	雨宿	あまやどり	
america	アメリカ	あめりか	
arakawanioi	荒川匂	あらかわにおい	
arashiyama	嵐山	あらしやま	
aratama	新珠	あらたま	荒玉
ariake	有明	ありあけ	
izu-saifukuji-shidare	伊豆最福寺枝垂	いずさいふくじしだれ	
izutaga-aka	伊豆多賀赤	いずたがあか	
izutaga-shiro	伊豆多賀白	いずたがしろ	
izu-yoshino	伊豆吉野	いずよしの	
ichiharatoranoo	市原虎の尾	いちはらとらのお	
ichiyou	一葉	いちよう	
itsukayama	早晩山	いつかやま	五月山
ito-zakura	伊東桜	いとうざくら	
itokukuri	糸括	いとくくり	
ivensii	イベンシー	いべんしー	
hiranojinja-imose	妹背（平野神社）	いもせ（ひらのじんじゃいもせ）	妹背
iyo-usuzumi	伊予薄墨	いようすずみ	
ueno-shirayuki-shidare	上野白雪枝垂	うえのしらゆきしだれ	
warwick	ウォーウィック	うぉーうぃっく	
ukon	鬱金	うこん	
ujo-shidare	雨情枝垂	うじょうしだれ	宇城枝垂
ushugasane-ohshima	薄重大島	うすがさねおおしま	
usuge-ohshima	薄毛大島	うすげおおしま	
usuzumi	薄墨	うすずみ	
usubeni-miyama	薄紅深山桜	うすべにみやまざくら	
uzuzakura	渦桜	うずざくら	
umineko	ウミネコ	うみねこ	
umineko-isyu	ウミネコ異種	うみねこいしゅ	
unryu-ohshima	雲竜大島	うんりゅうおおしま	
