sha256_prefix,variety_id,filename,action,keeper_id,features_len
05d5e31c03e5dd81,beniyamazakura,02.webp,DELETE,キリタチヤマザクラ,101
05d5e31c03e5dd81,cheju-zakura,01.webp,DELETE,キリタチヤマザクラ,122
05d5e31c03e5dd81,ezoyamazakura,02.webp,DELETE,キリタチヤマザクラ,119
05d5e31c03e5dd81,ezozakura,02.webp,DELETE,キリタチヤマザクラ,98
05d5e31c03e5dd81,kiritachiyamazakura,02.webp,DELETE,キリタチヤマザクラ,117
05d5e31c03e5dd81,kitanozakura,02.webp,DELETE,キリタチヤマザクラ,104
05d5e31c03e5dd81,kushiro-yae,01.webp,DELETE,キリタチヤマザクラ,110
05d5e31c03e5dd81,ookamezakura,02.webp,DELETE,キリタチヤマザクラ,124
05d5e31c03e5dd81,ooyamazakura,02.webp,DELETE,キリタチヤマザクラ,130
05d5e31c03e5dd81,tsurukikusakura,01.webp,DELETE,キリタチヤマザクラ,91
05d5e31c03e5dd81,キリタチヤマザクラ,01.webp,KEEP,キリタチヤマザクラ,196
05d5e31c03e5dd81,ノナカノサクラ,01.webp,DELETE,キリタチヤマザクラ,156
08eee64c384bb7fa,chishima-zakura,01.webp,DELETE,kumoizakura,109
08eee64c384bb7fa,kumoizakura,01.webp,KEEP,kumoizakura,128
092d89f9529c9915,ミヤマチョウジザクラ,03.webp,KEEP,ミヤマチョウジザクラ,196
092d89f9529c9915,ヤヒコ,03.webp,DELETE,ミヤマチョウジザクラ,70
0c2c9093fdef2fe1,furusatozakura-isyu,01.webp,DELETE,karamizakura,81
0c2c9093fdef2fe1,karamizakura,02.webp,KEEP,karamizakura,98
0c2c9093fdef2fe1,shinamizakura,01.webp,DELETE,karamizakura,91
0e2828f51de528c8,ミシマフジミザクラ,03.webp,DELETE,ワセヤマザクラ,72
0e2828f51de528c8,ヤダケムラサキ,03.webp,DELETE,ワセヤマザクラ,78
0e2828f51de528c8,ヤマヒガン,03.webp,DELETE,ワセヤマザクラ,19
0e2828f51de528c8,ワセヤマザクラ,03.webp,KEEP,ワセヤマザクラ,110
0fa62e5b85faa76f,hatsu-yuki-zakura,03.webp,DELETE,myojo,62
0fa62e5b85faa76f,myojo,03.webp,KEEP,myojo,65
0fa62e5b85faa76f,okusai-zakura,03.webp,DELETE,myojo,47
0fa62e5b85faa76f,shidare-okusai-zakura,03.webp,DELETE,myojo,42
0fa62e5b85faa76f,somei-nioi,03.webp,DELETE,myojo,56
0fa62e5b85faa76f,tomoe-zakura,03.webp,DELETE,myojo,64
10464ca3d7b46ede,gekko,02.webp,KEEP,gekko,229
10464ca3d7b46ede,kanhizakura-taiwan,01.webp,DELETE,gekko,87
10464ca3d7b46ede,kankan,02.webp,DELETE,gekko,109
10464ca3d7b46ede,satsuma-hizakura,02.webp,DELETE,gekko,111
10464ca3d7b46ede,satsuma-zakura,02.webp,DELETE,gekko,108
10464ca3d7b46ede,shogatsu-zakura,02.webp,DELETE,gekko,106
112e16b4c15f29d0,shidare-oyama-zakura,03.webp,KEEP,shidare-oyama-zakura,73
112e16b4c15f29d0,takane-oyama-zakura,03.webp,DELETE,shidare-oyama-zakura,63
153ad24268c77837,ミナカミ,01.webp,DELETE,ヤツセニオイ,73
153ad24268c77837,ヤツセニオイ,01.webp,KEEP,ヤツセニオイ,89
1962508ae6d5b38a,amedamazakura,03.webp,DELETE,narano-yaezakura,113
