id,name,wikimedia_count,inaturalist_count,gbif_count,total,status
accolade,"アーコレード",0,3,0,3,complete
aizu-usuzumi,"会津薄墨",0,3,0,3,complete
akashinju,"赤真珠",0,3,0,3,complete
akatsuki-naden,"暁南殿",0,3,0,3,complete
akabana-mazakura,"赤花真桜",0,3,0,3,complete
akami-ohshima,"赤実大島",1,2,0,3,complete
agishi-kogiku-zakura,"阿岸小菊桜",0,3,0,3,complete
asahiyama,"旭山",0,3,0,3,complete
azumanishiki,"東錦",0,3,0,3,complete
atamizakura,"熱海桜",0,3,0,3,complete
akkeshi-taizanfukun,"厚岸泰山府君",0,3,0,3,complete
amagiyoshino,"天城吉野",0,3,0,3,complete
amanogawa,"天の川",2,0,0,2,complete
amayadori,"雨宿",0,3,0,3,complete
america,"アメリカ",0,3,0,3,complete
arakawanioi,"荒川匂",1,2,0,3,complete
arashiyama,"嵐山",0,3,0,3,complete
aratama,"新珠",0,3,0,3,complete
ariake,"有明",0,3,0,3,complete
izu-saifukuji-shidare,"伊豆最福寺枝垂",0,3,0,3,complete
izutaga-aka,"伊豆多賀赤",0,3,0,3,complete
izutaga-shiro,"伊豆多賀白",0,3,0,3,complete
izu-yoshino,"伊豆吉野",2,1,0,3,complete
ichiharatoranoo,"市原虎の尾",0,3,0,3,complete
ichiyou,"一葉",0,3,0,3,complete
itsukayama,"早晩山",0,3,0,3,complete
ito-zakura,"伊東桜",0,3,0,3,complete
itokukuri,"糸括",0,3,0,3,complete
ivensii,"イベンシー",1,1,0,2,complete
hiranojinja-imose,"妹背（平野神社）",0,3,0,3,complete
iyo-usuzumi,"伊予薄墨",0,2,0,2,complete
ueno-shirayuki-shidare,"上野白雪枝垂",0,0,0,0,no_image
warwick,"ウォーウィック",0,3,0,3,complete
ukon,"鬱金",0,0,0,0,no_image
ujo-shidare,"雨情枝垂",1,0,0,1,complete
ushugasane-ohshima,"薄重大島",0,2,0,2,complete
usuge-ohshima,"薄毛大島",0,1,0,1,complete
usuzumi,"薄墨",0,0,0,0,no_image
usubeni-miyama,"薄紅深山桜",0,0,0,0,no_image
uzuzakura,"渦桜",0,3,0,3,complete
umineko,"ウミネコ",0,3,0,3,complete
umineko-isyu,"ウミネコ異種",0,0,0,0,no_image
unryu-ohshima,"雲竜大島",1,2,0,3,complete
eigenji,"永源寺",0,3,0,3,complete
ezo-nishiki,"蝦夷錦",0,0,0,0,no_image
