里桜: count=49
サトザクラ: count=2
シウリザクラ: count=2
魯桃桜: count=2
南殿桜: count=1
エドヒガン系ベニシダレザクラ: count=1
蝦夷の上溝桜: count=1
青葉枝垂: count=1
駒見桜: count=1
ノムラベニヤマザクラ: count=1
大河原紅桜: count=1
おおがわら千年桜: count=1
ヤエベニシダレヒガンザクラ: count=1
鹽竈桜: count=1
里桜 (八重桜小菊桜): count=1
神代桜: count=1
知恵桜: count=1
など園芸品種70種以上: count=1
しだれ桜 (詳細名不明): count=1
ベニシダレの近縁: count=1
安行寒桜: count=1
大漁ザクラ: count=1
元朝桜: count=1
ウバヒガンシダレザクラ: count=1
カンザン桜: count=1
駿河桜: count=1
駿河小町: count=1
駿河桜の実生: count=1
ワシントンザクラ: count=1
祐天桜: count=1
カンザクラ類: count=1
エドコヒガンザクラ: count=1
など。小山内裏公園内では: count=1
河津桜や希少種のヤブザクラ: count=1
タマノホシザクラなども観桜可: count=1
ほか。上記含めて約: count=1
伊勢山桜: count=1
シドモア桜: count=1
ウスズミザクラ: count=1
ショウカワザクラ: count=1
ヤナイヅタカクワホシザクラ: count=1
思川桜: count=1
大磯小桜: count=1
穂咲彼岸八重桜 ※約9割がソメイヨシノ: count=1
希少品種の穂咲彼岸八重桜も観賞できる: count=1
結桜: count=1
霞桜。※しだれ桜の正式名称はイトザクラ: count=1
誓願桜: count=1
小諸八重紅しだれ: count=1
蝦夷桜: count=1
あたみ桜: count=1
城ケ崎桜: count=1
フジザクラ: count=1
土肥桜: count=1
あらさわ紅桜: count=1
おおぐち観鋭桜: count=1
エゾヒガンザクラ: count=1
オカメフジザクラ: count=1
寝覚桜: count=1
平野妹背: count=1
魁桜: count=1
黄桜: count=1
御会式桜: count=1
八重紅枝垂桜: count=1
紅枝垂れ桜: count=1
ヒガンシダレザクラ: count=1
紅しだれ: count=1
渓仙桜: count=1
御室桜: count=1
観音桜: count=1
金剛桜: count=1
紅枝垂桜: count=1
墨染桜: count=1
千眼桜: count=1
紅枝垂れ: count=1
ぼたん桜: count=1
ギオンシダレ: count=1
ヒョウタンザクラ: count=1
テルテモモ: count=1
多数の種類が咲く: count=1
紅八重枝垂桜: count=1
ナラココノエザクラ: count=1
コイトシダレザクラ: count=1
江戸彼岸大島: count=1
ミョウヨウジザクラ: count=1
タイハクザクラ: count=1
ほか(約70種): count=1
(エドヒガンの変種): count=1
センダイヤザクラ: count=1
ほか数十: count=1
オモイカワザクラ: count=1
福聚桜: count=1
玖島桜など20種類以上: count=1
ヒメシダレザクラ: count=1
ニドザキザクラ: count=1
ガンタンザクラ: count=1
秋色桜: count=1
輪王寺御車返し: count=1
大枝垂れ（弘前枝垂れ）: count=1
白糸枝垂れ（シライトシダレ）: count=1
紅芳遊（ベニボウユ）: count=1
衣縫（コロモツギ）: count=1
行仙（ギョイオ）: count=1
大東陳（ダイトウチン）: count=1
開六園菊桜（カイロクエンキクザクラ）: count=1
松前あこや山錦（マツマエアコヤマニシキ）: count=1
西山エドヒガン: count=1
おとぎ桜（エドヒガンサクラ）: count=1
康寿ざくら（エドヒガンサクラ）: count=1
家昌桜（エドヒガンサクラ）: count=1
サトザクラ類（70種以上の園芸品種）: count=1
里ざくらコレクション約50種の詳細品種: count=1
劫初の桜（コウジョノサクラ）: count=1
笹目桜（ササメザクラ）: count=1
笹目桜（ヨウヘイザクラ）: count=1
春月花: count=1
乙女東彼岸: count=1
