id,name,raw_score,stars,label,reasons
accolade,アーコレード,4,★★★★,とても珍しい,八重咲き|二季咲き（春と秋に開花）
aizu-usuzumi,会津薄墨,6,★★★★,とても珍しい,八重咲き|国指定天然記念物|一本桜・原木
akashinju,赤真珠,2,★★★,珍しい,紫紅色の花
akatsuki-naden,暁南殿,1,★★,やや珍しい,半八重咲き
akabana-mazakura,赤花真桜,0,★,よく見る,
akami-ohshima,赤実大島,0,★,よく見る,
agishi-kogiku-zakura,阿岸小菊桜,8,★★★★★,激レア,菊咲き|国指定天然記念物|一本桜・原木
asahiyama,旭山,1,★★,やや珍しい,八重咲き
azumanishiki,東錦,0,★,よく見る,
atamizakura,熱海桜,0,★,よく見る,
akkeshi-taizanfukun,厚岸泰山府君,3,★★★,珍しい,八重咲き|一本桜・原木
amagiyoshino,天城吉野,0,★,よく見る,
amanogawa,天の川,0,★,よく見る,
amayadori,雨宿,0,★,よく見る,
america,アメリカ,0,★,よく見る,
arakawanioi,荒川匂,0,★,よく見る,
arashiyama,嵐山,0,★,よく見る,
aratama,新珠,1,★★,やや珍しい,八重咲き
ariake,有明,0,★,よく見る,
izu-saifukuji-shidare,伊豆最福寺枝垂,3,★★★,珍しい,八重咲き|一本桜・原木
izutaga-aka,伊豆多賀赤,0,★,よく見る,
izutaga-shiro,伊豆多賀白,0,★,よく見る,
izu-yoshino,伊豆吉野,0,★,よく見る,
ichiharatoranoo,市原虎の尾,1,★★,やや珍しい,八重咲き
ichiyou,一葉,0,★,よく見る,
itsukayama,早晩山,0,★,よく見る,
ito-zakura,伊東桜,1,★★,やや珍しい,品種登録品
itokukuri,糸括,1,★★,やや珍しい,八重咲き
ivensii,イベンシー,0,★,よく見る,
hiranojinja-imose,妹背（平野神社）,3,★★★,珍しい,八重咲き|一本桜・原木
iyo-usuzumi,伊予薄墨,6,★★★★,とても珍しい,八重咲き|国指定天然記念物|一本桜・原木
ueno-shirayuki-shidare,上野白雪枝垂,2,★★★,珍しい,一本桜・原木
warwick,ウォーウィック,4,★★★★,とても珍しい,八重咲き|二季咲き（春と秋に開花）
ukon,鬱金,4,★★★★,とても珍しい,黄緑・緑系の珍しい花色|八重咲き
ujo-shidare,雨情枝垂,1,★★,やや珍しい,八重咲き
ushugasane-ohshima,薄重大島,1,★★,やや珍しい,半八重咲き
usuge-ohshima,薄毛大島,0,★,よく見る,
usuzumi,薄墨,0,★,よく見る,
usubeni-miyama,薄紅深山桜,0,★,よく見る,
uzuzakura,渦桜,0,★,よく見る,
umineko,ウミネコ,0,★,よく見る,
umineko-isyu,ウミネコ異種,0,★,よく見る,
unryu-ohshima,雲竜大島,0,★,よく見る,
eigenji,永源寺,1,★★,やや珍しい,八重咲き
ezo-nishiki,蝦夷錦,2,★★★,珍しい,濃紅色の花|八重咲き
edo,江戸,0,★,よく見る,
edohigan-ichifusa-beni,江戸彼岸（市房紅）,0,★,よく見る,
edohigan-ozakura,江戸彼岸（大桜）,0,★,よく見る,
edohigan-mukaino,江戸彼岸（向野）,2,★★★,珍しい,一本桜・原木
edohigan-yamataka-jindai-zakura,江戸彼岸（山高神代桜）,5,★★★★,とても珍しい,国指定天然記念物|一本桜・原木
eregansu-miyuki,エレガンスみゆき,6,★★★★,とても珍しい,濃紅色の花|八重咲き|二季咲き（春と秋に開花）|品種登録品
entsuji-zakura,円通寺桜,2,★★★,珍しい,一本桜・原木
oushusatozakura,奥州里桜,1,★★,やや珍しい,八重咲き
ouchi-zakura,大内桜,3,★★★,珍しい,半八重咲き|一本桜・原木
o-kanzakura,大寒桜,0,★,よく見る,
okusa-kohigan,大草小彼岸,2,★★★,珍しい,一本桜・原木
osawazakura,大沢桜,3,★★★,珍しい,半八重咲き|一本桜・原木
oshimazakura,オオシマザクラ,1,★★,やや珍しい,野生種
ota-zakura,太田桜,4,★★★★,とても珍しい,濃紅色の花|菊咲き
ojochin,大提灯,0,★,よく見る,
onadeshiko,大撫子,1,★★,やや珍しい,八重咲き
onaden,大南殿,1,★★,やや珍しい,八重咲き
ohara-nagisa,大原渚,3,★★★,珍しい,半八重咲き|一本桜・原木
oharanagisa-isyu,大原渚異種,1,★★,やや珍しい,半八重咲き
ominezakura,大峰桜,0,★,よく見る,
omurazakura,大村桜,8,★★★★★,激レア,菊咲き|国指定天然記念物|一本桜・原木
okame,オカメ,2,★★★,珍しい,紫紅色の花
okuchoji-zakura,奥丁字桜,1,★★,やや珍しい,野生種
oshidorizakura,鴛鴦桜,1,★★,やや珍しい,八重咲き
oneyama-higan,小根山彼岸,0,★,よく見る,
ofusa-zakura,お房桜,0,★,よく見る,
ominosato-buraizakura,麻績の里舞台桜,4,★★★★,とても珍しい,半八重咲き|国指定天然記念物
omuro-ariake,御室有明,1,★★,やや珍しい,八重咲き
