spot_id,spot_name,varieties_before,varieties_after,added_high,added_medium,rejected_medium,source_batch
walker-ar0101e25532,円山公園の桜(北海道),3,3,,,,result_000
walker-ar0101e536782,旭山記念公園の桜,2,2,,,,result_000
walker-ar0101e537845,中島公園の桜,1,1,,,,result_000
walker-ar0101e537272,新川さくら並木の桜,3,3,,,,result_000
walker-ar0101e25533,モエレ沼公園サクラの森の桜,2,2,,,,result_000
walker-ar0101e60097,北海道立真駒内公園の桜,2,2,,,,result_000
walker-ar0101e60101,五稜郭公園の桜,2,2,,,,result_000
walker-ar0101e60118,函館公園の桜,2,2,,,,result_000
walker-ar0101e60098,小樽公園の桜,1,2,ezoyamazakura,,,result_000
walker-ar0101e60090,旭山公園の桜,5,5,,,,result_000
walker-ar0101e100948,うらかわ千本桜　優駿さくらロード,1,1,,,,result_000
walker-ar0101e23376,二十間道路桜並木の桜,4,4,,,,result_000
walker-ar0207e25692,三春滝桜,4,4,,,,result_000
walker-ar0313e25833,千鳥ヶ淵緑道の桜,7,8,azumahigan,,,result_000
walker-ar0313e25849,目黒川の桜,4,4,,,,result_000
walker-ar0729e60635,吉野山(上千本)の桜,3,3,,,,result_000
walker-ar0313e25817,上野恩賜公園の桜,21,21,,,,result_000
walker-ar0727e26137,大阪城公園の桜,6,6,,,,result_000
walker-ar0420e25997,高遠城址公園の桜,6,6,,,,result_000
walker-ar0204e25611,柴田町船岡城址公園の桜,3,3,,,,result_000
walker-ar0205e60527,角館武家屋敷通りの桜,1,1,,,,result_000
walker-ar0833e26234,醍醐桜,1,1,,,,result_000
walker-ar0101e60114,春採公園の桜,5,5,,,,result_000
walker-ar0101e60096,帯広市緑ケ丘公園の桜,3,3,,,,result_000
walker-ar0101e60103,苫小牧市緑ヶ丘公園の桜,2,2,,,,result_000
walker-ar0101e25556,美唄市東明公園の桜,4,4,,,,result_000
walker-ar0101e60100,芦別市旭ケ丘公園の桜,1,1,,,,result_000
walker-ar0101e60115,弥生公園の桜,1,1,,,,result_000
walker-ar0101e25540,清隆寺の桜,1,1,,,,result_000
walker-ar0101e60104,登別桜並木の桜,2,2,,,,result_000
walker-ar0101e25553,有珠善光寺自然公園の桜,2,3,oshimazakura,,,result_000
walker-ar0101e60117,松前藩戸切地(へきりち)陣屋跡桜並木トンネル,3,3,,,,result_000
walker-ar0101e216009,清川千本桜,1,2,ooyamazakura,,,result_000
walker-ar0101e60112,光善寺(血脈桜)の桜,6,7,matsumae-hayazaki,,,result_000
walker-ar0101e60102,青葉ヶ丘公園の桜,2,2,,,,result_000
walker-ar0101e60116,オニウシ公園の桜,2,2,,,,result_000
walker-ar0101e60110,さらんべ公園の桜,2,2,,,,result_000
walker-ar0101e60106,奈井江町にわ山森林自然公園の桜,3,3,,,,result_000
walker-ar0101e60099,栗山公園の桜,2,2,,,,result_000
walker-ar0101e60113,北竜町金比羅公園の桜,1,1,,,,result_000
walker-ar0101e180120,パレットヒルズの桜,2,2,,,,result_000
walker-ar0101e60108,洞爺湖畔の桜,2,2,,,,result_000
walker-ar0101e60109,安平町鹿公園の桜,1,1,,,,result_000
