spot_id,spot_name,prefecture,varieties_count,variety_ids,variety_names,variety_note
walker-ar0727e26135,造幣局　桜の通り抜け,大阪府,95,kanzan|shogetsu|fugenzou|youkihi|ichiyou|fukurokujyu|beni-demari|ojochin|ukon|gyoikou|azumanishiki|amagiyoshino|amanogawa|amayadori|kikuzakura|キヌガサ|kenrokuen-kikuzakura|beniyutaka|sumaura-fugenzo|chiharazakura|chosyuhizakura|ranran|asahiyama|ujo-shidare|omoigawa|someiyoshino|oshimazakura|yamazakura|yoro-zakura|matsumae-yaekotobuki|kotohira|コウダイジ|eigenji|hanagasa|osawazakura|matsumae-usubeni-kokonoe|kirigaya|uzuzakura|ayanishiki|ヤエムラサキザクラ|ariake|taihaku|sasabe-zakura|fuku-zakura|kofuku|maihime|komatsunagi|banrikou|matsumae|ichiharatoranoo|kirin|ミヤコニシキ|yaeakebono|ユウグレ|taguiarashi|matsumae-hanazomei|kibune-uzu|yaebeni-toranoo|izu-saifukuji-shidare|edo|ニソンインフケンゾウ|iyo-usuzumi|iyokumagai|kasugai|hirano-tsukubane|taizanfukun|kocho|matsumaekoitozakura|goten-nioi|taoyame|gozanomanioi|matsumae-benimurasaki|gyosyo|koka|kokonoe|hiranojinja-imose|kamatari-zakura|gioji-gijo-zakura|matsumae-hanamiyako|takato-kohigan|kanzakura|yamagoshi-murasaki|itokukuri|fudan-zakura|ハヤシ2ゴウ|ヒラノニオイ|yaebenishidare-sanokei|goshinzakura|kanzashi-zakura|sanozakura|nidozakura|omuro-ariake|ハヤシ1ゴウ|yaebeni-ohshima|sasaga-oshidori,関山|松月|普賢象|楊貴妃|一葉|福禄寿|紅手毬|大提灯|鬱金|御衣黄|東錦|天城吉野|天の川|雨宿|菊桜|衣笠|兼六園菊桜|紅豊|須磨浦普賢象|千原桜|長州緋桜|蘭蘭|旭山|雨情枝垂|思川|染井吉野|オオシマザクラ|ヤマザクラ|養老桜|松前八重寿|琴平|高台寺|永源寺|花笠|大沢桜|松前薄紅九重|桐ヶ谷|渦桜|綾錦|八重紫桜|有明|太白|笹部桜|福桜|幸福|舞姫|駒繋|萬里香|松前|市原虎の尾|麒麟|都錦|八重曙|夕暮|類嵐|松前花染衣|貴船雲珠|八重紅虎の尾|伊豆最福寺枝垂|江戸|二尊院普賢象|伊予薄墨|伊予熊谷|春日井|突羽根（平野突羽根）|泰山府君|胡蝶|松前琴糸桜|御殿匂|手弱女|御座の間匂|松前紅紫|暁鐘|紅華|九重|妹背（平野神社）|鎌足桜|祇王寺祇女桜|松前花都|高遠小彼岸桜|寒桜|山越紫|糸括|不断桜|林２号|平野匂|八重紅枝垂(佐野系）|御信桜|簪桜|佐野桜|二度桜|御室有明|林１号|八重紅大島|笹賀鴛鴦桜,
walker-ar0834e26242,造幣局広島支局 花のまわりみち,広島県,95,kanzan|shogetsu|fugenzou|youkihi|ichiyou|fukurokujyu|beni-demari|ojochin|ukon|gyoikou|azumanishiki|amagiyoshino|amanogawa|amayadori|kikuzakura|キヌガサ|kenrokuen-kikuzakura|beniyutaka|sumaura-fugenzo|chiharazakura|chosyuhizakura|ranran|asahiyama|ujo-shidare|omoigawa|someiyoshino|oshimazakura|yamazakura|yoro-zakura|matsumae-yaekotobuki|kotohira|コウダイジ|eigenji|hanagasa|osawazakura|matsumae-usubeni-kokonoe|kirigaya|uzuzakura|ayanishiki|ヤエムラサキザクラ|ariake|taihaku|sasabe-zakura|fuku-zakura|kofuku|maihime|komatsunagi|banrikou|matsumae|ichiharatoranoo|kirin|ミヤコニシキ|yaeakebono|ユウグレ|taguiarashi|matsumae-hanazomei|kibune-uzu|yaebeni-toranoo|izu-saifukuji-shidare|edo|ニソンインフケンゾウ|iyo-usuzumi|iyokumagai|kasugai|hirano-tsukubane|taizanfukun|kocho|matsumaekoitozakura|goten-nioi|taoyame|gozanomanioi|matsumae-benimurasaki|gyosyo|koka|kokonoe|hiranojinja-imose|kamatari-zakura|gioji-gijo-zakura|matsumae-hanamiyako|takato-kohigan|kanzakura|yamagoshi-murasaki|itokukuri|fudan-zakura|ハヤシ2ゴウ|ヒラノニオイ|yaebenishidare-sanokei|goshinzakura|kanzashi-zakura|sanozakura|nidozakura|omuro-ariake|ハヤシ1ゴウ|yaebeni-ohshima|sasaga-oshidori,関山|松月|普賢象|楊貴妃|一葉|福禄寿|紅手毬|大提灯|鬱金|御衣黄|東錦|天城吉野|天の川|雨宿|菊桜|衣笠|兼六園菊桜|紅豊|須磨浦普賢象|千原桜|長州緋桜|蘭蘭|旭山|雨情枝垂|思川|染井吉野|オオシマザクラ|ヤマザクラ|養老桜|松前八重寿|琴平|高台寺|永源寺|花笠|大沢桜|松前薄紅九重|桐ヶ谷|渦桜|綾錦|八重紫桜|有明|太白|笹部桜|福桜|幸福|舞姫|駒繋|萬里香|松前|市原虎の尾|麒麟|都錦|八重曙|夕暮|類嵐|松前花染衣|貴船雲珠|八重紅虎の尾|伊豆最福寺枝垂|江戸|二尊院普賢象|伊予薄墨|伊予熊谷|春日井|突羽根（平野突羽根）|泰山府君|胡蝶|松前琴糸桜|御殿匂|手弱女|御座の間匂|松前紅紫|暁鐘|紅華|九重|妹背（平野神社）|鎌足桜|祇王寺祇女桜|松前花都|高遠小彼岸桜|寒桜|山越紫|糸括|不断桜|林２号|平野匂|八重紅枝垂(佐野系）|御信桜|簪桜|佐野桜|二度桜|御室有明|林１号|八重紅大島|笹賀鴛鴦桜,約207本
walker-ar0101e25542,松前公園の桜,北海道,91,itokukuri|kanzan|amayadori|ukon|ezoyamazakura|takasago|ooyamazakura|oshimazakura|yoro-zakura|ハナカゴト|ヤマトニシキ|matsumae-hayazaki|matsumae|matsumaeavanishiki|matsumae-yaekotobuki|コウゼンジシロヤエザクラ|コウラン|ハクホウザクラ|hanagasa|hitachi-miyabi|shirayukihime|コウヨウ|ranran|matsumae-usubeni-kokonoe|ユウガ|シラツユ|matsumaesarasa|ヒメタカサゴ|matsumaekorin|matsumae-yae-goromo|kofuku|matsumaeshirobotan|banrikou|ヤチヨ|matsumae-usugasanesomei|matsumae-beni-kosode|matsumaeshirasagi|matsumaeoshizuka|matsumae-fukujuzakura|matsumae-beni-usome|matsumae-hanazomei|aratama|ryuunin-beniyaezakura|matsumae-aizen|matsumae-kazanin|matsumaefukuzakura|ミダレユキ|matsumaeakane|hirano-tsukubane|matsumaeokoyuki|tamagaki|akatsuki-naden|someiyoshino|matsumaekoitozakura|gozanomanioi|matsumae-benigasa|matsumae-benimurasaki|matsumae-usbenikokonoe|gyosyo|akabana-mazakura|kokonoe|matsumae-yuen|hiranojinja-imose|matsumae-benihigoromo|matsumae-fuki|beniyutaka|クワジマザクラ|matsumaesasameyuki|beni-tamanishiki|matsumae-hanamiyako|kechimyakuzakura|コウリン|yaemiyamazakura|matsumae-oshima|matsumaefuki|matsumaesekimori|beni-shigure|matsumae-osio|matsumae-beni-botan|ezo-nishiki|ハクホウ|yaebenishidare-sanokei|matsumae-shiraginu|usubeni-miyama|ユウエン|matsumaearatama|リュウウンインベニヤエ|matsumae-benitamae|ハナシホウ|マンゲツ|shinranshonin-juzukake-zakura,糸括|関山|雨宿|鬱金|エゾヤマザクラ|高砂|オオヤマザクラ|オオシマザクラ|養老桜|花香琴|大和錦|松前早咲|松前|松前綾錦|松前八重寿|光善寺白八重桜|紅蘭|白鳳桜|花笠|常陸乙女|白雪姫|松前紅陽|蘭蘭|松前薄紅九重|松前優雅|白露|松前更紗|姫高砂|松前紅鱗|松前八重衣|幸福|松前白牡丹|萬里香|八千代|松前薄重染井|松前紅小袖|松前白鷺|松前静|松前福寿桜|松前紅染|松前花染衣|新珠|龍雲院紅八重桜|松前愛染|松前花山院|松前福桜|乱雪|松前茜|突羽根（平野突羽根）|松前小雪|松前玉垣|暁南殿|染井吉野|松前琴糸桜|御座の間匂|松前紅笠|松前紅紫|松前薄紅小重|暁鐘|赤花真桜|九重|松前幽艶|妹背（平野神社）|松前紅緋衣|松前風杏|紅豊|桑島桜|松前笹目雪|紅玉錦|松前花都|血脈桜原木|松前香輪|八重深山桜|松前大島|松前深紅|松前関守|紅時雨|松前大潮|松前紅牡丹|蝦夷錦|白峰|八重紅枝垂(佐野系）|松前白絹|薄紅深山桜|松前優艶|松前新玉|龍雲院紅八重|松前紅珠恵|花司峰|満月|親鸞上人数珠掛桜,
walker-ar0313e25816,新宿御苑の桜,東京都,66,kawaduzakura|シロヤマザクラ|kanhizakura|ichiyou|kanzan|hiranojinja-imose|beniyutaka|ゴショミクルマガエシ|ooyamazakura|kobuku-zakura|yoko|kotohira|yamazakura|shirotae|oshimazakura|syuzenjikanzakura|edo-zakura|スザク|baigoji-juzukakezakura|kohigan|takato-kohigan|bendono|gyoikou|kanzakura|chosyuhizakura|kenrokuen-kikuzakura|amanogawa|benizuruzakura|komatsunagi|someiyoshino|tsubakikanzakura|ichiharatoranoo|o-kanzakura|amayadori|kasumizakura|hiyoshizakura|shidarezakura|hoshu-zakura|ukon|atamizakura|ヒマラヤヒザクラ|yaebenishidare-sanokei|toukaizakura|mamezakura|america|gosyozakura|シロヒガン|izu-yoshino|surugadai-nioi|beni-shidare|murasakizakura|washinoo|taguiarashi|okame|jugatsu-zakura|shogetsu|yokohamahizakura|yae-no-sakon|koshioyama|taihaku|arashiyama|fugenzou|higan-zakura|usuzumi|tyoujizakura|edo,河津桜|白山桜|カンヒザクラ|一葉|関山|妹背（平野神社）|紅豊|御所御車返し|オオヤマザクラ|子福桜|陽光|琴平|ヤマザクラ|白妙|オオシマザクラ|修善寺寒桜|江戸桜|朱雀|梅護寺数珠掛桜|小彼岸|高遠小彼岸桜|弁殿|御衣黄|寒桜|長州緋桜|兼六園菊桜|天の川|紅鶴桜|駒繋|染井吉野|椿寒桜|市原虎の尾|大寒桜|雨宿|カスミザクラ|日吉桜|枝垂桜|宝珠桜|鬱金|熱海桜|ヒマラヤ緋桜|八重紅枝垂(佐野系）|東海桜|マメザクラ|アメリカ|五所桜|江戸彼岸|伊豆吉野|駿河台匂|紅枝垂|紫桜|鷲の尾|類嵐|オカメ|十月桜|松月|横浜緋桜|八重の左近|小汐山（小塩山）|太白|嵐山|普賢象|彼岸桜|薄墨|チョウジザクラ|江戸,約900本
walker-ar0202e25563,弘前公園(鷹揚公園)の桜,青森県,51,シロヤマザクラ|kanhizakura|kasumizakura|yamazakura|ooyamazakura|oshimazakura|ukon|shogetsu|kanzan|fugenzou|gyoikou|ichiyou|azumanishiki|mikurumagaeshi|ojochin|beniyutaka|kobuku-zakura|hirosaki-yukiakari|yoko|kotohira|shirotae|showa-zakura|baigoji-juzukakezakura|kohigan|sotoorihime|hiyodorizakura|higurashi|sendai-shidare|ミナカミ|kenrokuen-kikuzakura|amanogawa|someiyoshino|senriko|o-kanzakura|shidarezakura|yaebenishidare-sanokei|sakuyahime|sumaura-fugenzo|beni-shidare|シロヒガン|sanozakura|temari|funabara-yoshino|okame|jugatsu-zakura|yokohamahizakura|omoigawa|taihaku|yaebeni-ohshima|fukurokujyu|hirosaki-sandanzaki,白山桜|カンヒザクラ|カスミザクラ|ヤマザクラ|オオヤマザクラ|オオシマザクラ|鬱金|松月|関山|普賢象|御衣黄|一葉|東錦|御車返し|大提灯|紅豊|子福桜|弘前雪明かり|陽光|琴平|白妙|昭和桜|梅護寺数珠掛桜|小彼岸|衣通姫|鵯桜|日暮|仙台枝垂|水上|兼六園菊桜|天の川|染井吉野|千里香|大寒桜|枝垂桜|八重紅枝垂(佐野系）|咲耶姫|須磨浦普賢象|紅枝垂|江戸彼岸|佐野桜|手毬|船原吉野|オカメ|十月桜|横浜緋桜|思川|太白|八重紅大島|福禄寿|弘前三段咲,約400本
arakawa-tsutsumi,荒川堤（荒川自然公園）,東京都,50,botan|mikurumagaeshi|ojochin|youkihi|shirotae|スミゾメ|kokeshimizu|arakawanioi|ハタザクラ|hoki-zakura|スザク|itsukayama|taizanfukun|bendono|beni-demari|higurashi|chosyuhizakura|ミナカミ|amanogawa|banrikou|amayadori|uzuzakura|ukon|gozanomanioi|kanzan|kirin|shirayuki|takasago|jyonioi|hosokawa-nioi|yaeakebono|onaden|gosyozakura|surugadai-nioi|ichiyou|murasakizakura|washinoo|taguiarashi|shogetsu|ariake|shibayama|meigetsu|arashiyama|kokonoe|fugenzou|usuzumi|fukurokujyu|azumanishiki|マンゲツ|edo,牡丹|御車返し|大提灯|楊貴妃|白妙|墨染|苔清水|荒川匂|旗桜|伯耆桜|朱雀|早晩山|泰山府君|弁殿|紅手毬|日暮|長州緋桜|水上|天の川|萬里香|雨宿|渦桜|鬱金|御座の間匂|関山|麒麟|白雪|高砂|上匂|細川匂|八重曙|大南殿|五所桜|駿河台匂|一葉|紫桜|鷲の尾|類嵐|松月|有明|芝山|明月|嵐山|九重|普賢象|薄墨|福禄寿|東錦|満月|江戸,カンザン（八重）
walker-ar0311e60429,元荒川の桜並木の桜,埼玉県,46,botan|mikurumagaeshi|ojochin|youkihi|shirotae|スミゾメ|kokeshimizu|arakawanioi|ハタザクラ|hoki-zakura|スザク|itsukayama|taizanfukun|bendono|chosyuhizakura|ミナカミ|amanogawa|banrikou|amayadori|uzuzakura|ukon|gozanomanioi|kanzan|kirin|shirayuki|takasago|jyonioi|hosokawa-nioi|yaeakebono|onaden|gosyozakura|ichiyou|murasakizakura|washinoo|kaba-sakura|taguiarashi|shogetsu|ariake|shibayama|meigetsu|arashiyama|kokonoe|usuzumi|azumanishiki|マンゲツ|edo,牡丹|御車返し|大提灯|楊貴妃|白妙|墨染|苔清水|荒川匂|旗桜|伯耆桜|朱雀|早晩山|泰山府君|弁殿|長州緋桜|水上|天の川|萬里香|雨宿|渦桜|鬱金|御座の間匂|関山|麒麟|白雪|高砂|上匂|細川匂|八重曙|大南殿|五所桜|一葉|紫桜|鷲の尾|蒲桜|類嵐|松月|有明|芝山|明月|嵐山|九重|薄墨|東錦|満月|江戸,
kitakoshigaya-motoarakawa,元荒川桜堤（北越谷）,埼玉県,46,someiyoshino|botan|mikurumagaeshi|ojochin|youkihi|shirotae|スミゾメ|kokeshimizu|arakawanioi|ハタザクラ|hoki-zakura|スザク|itsukayama|taizanfukun|bendono|chosyuhizakura|ミナカミ|amanogawa|banrikou|amayadori|uzuzakura|ukon|gozanomanioi|kanzan|kirin|shirayuki|takasago|jyonioi|hosokawa-nioi|yaeakebono|onaden|gosyozakura|ichiyou|murasakizakura|washinoo|taguiarashi|shogetsu|ariake|shibayama|meigetsu|arashiyama|kokonoe|usuzumi|azumanishiki|マンゲツ|edo,染井吉野|牡丹|御車返し|大提灯|楊貴妃|白妙|墨染|苔清水|荒川匂|旗桜|伯耆桜|朱雀|早晩山|泰山府君|弁殿|長州緋桜|水上|天の川|萬里香|雨宿|渦桜|鬱金|御座の間匂|関山|麒麟|白雪|高砂|上匂|細川匂|八重曙|大南殿|五所桜|一葉|紫桜|鷲の尾|類嵐|松月|有明|芝山|明月|嵐山|九重|薄墨|東錦|満月|江戸,ソメイヨシノ
walker-ar0726e60606,京都府立植物園の桜,京都府,28,kawaduzakura|シロヤマザクラ|higan-zakura|fuyu-zakura|kanhizakura|kanzakura|gyoikou|ukon|ohara-nagisa|yamazakura|oshimazakura|ooyamazakura|ichiyou|fugenzou|kanzan|shogetsu|youkihi|shirotae|kuramanibana|kujootome|someiyoshino|shidarezakura|yaebenishidare-sanokei|メグザクラ|ハクサン1ゴウ|シロヒガン|taihaku|クラマカンザン,河津桜|白山桜|彼岸桜|冬桜|カンヒザクラ|寒桜|御衣黄|鬱金|大原渚|ヤマザクラ|オオシマザクラ|オオヤマザクラ|一葉|普賢象|関山|松月|楊貴妃|白妙|鞍馬二花|九条乙女|染井吉野|枝垂桜|八重紅枝垂(佐野系）|萌紅桜|白山１号|江戸彼岸|太白|鞍馬関山,約500本
walker-ar0313e60170,西新井大師の桜,東京都,27,kawaduzakura|higan-zakura|kanzakura|wabihito|manoga|kokeshimizu|arakawanioi|itsukayama|taizanfukun|higurashi|amanogawa|amayadori|gozanomanioi|kirin|yaeakebono|gosyozakura|surugadai-nioi|ichiyou|washinoo|taguiarashi|ariake|shibayama|arashiyama|kokonoe|fugenzou|fukurokujyu|azumanishiki,河津桜|彼岸桜|寒桜|ワビヒト|マノガ|苔清水|荒川匂|早晩山|泰山府君|日暮|天の川|雨宿|御座の間匂|麒麟|八重曙|五所桜|駿河台匂|一葉|鷲の尾|類嵐|有明|芝山|嵐山|九重|普賢象|福禄寿|東錦,
