variety_id,variety_name,spot_id,spot_name,link_source,evidence
aizu-usuzumi,会津薄墨,walker-ar0207e25691,宮川千本桜,text_extraction,Keyword '福島県大沼郡会津美里町' found in aizu-usuzumi text
aizu-usuzumi,会津薄墨,walker-ar0207e25702,米沢の千歳桜,text_extraction,Keyword '福島県大沼郡会津美里町' found in aizu-usuzumi text
akabana-mazakura,赤花真桜,walker-ar0101e25542,松前公園の桜,text_extraction,Keyword '松前町' found in akabana-mazakura text
akatsuki-naden,暁南殿,walker-ar0101e25542,松前公園の桜,text_extraction,Keyword '松前町' found in akatsuki-naden text
akihimezakura,秋姫桜,walker-ar0101e60114,春採公園の桜,text_extraction,Keyword '北海道釧路市' found in akihimezakura text
amagiyoshino,天城吉野,walker-ar0622e60574,三嶋大社の桜,text_extraction,Keyword '静岡県三島市' found in amagiyoshino text
amagiyoshino,天城吉野,walker-ar0727e26135,造幣局　桜の通り抜け,web_search,Web search: '天城吉野' at spot containing '造幣局'
amagiyoshino,天城吉野,walker-ar0834e26242,造幣局広島支局 花のまわりみち,web_search,Web search: '天城吉野' at spot containing '造幣局'
amanogawa,天の川,arakawa-tsutsumi,荒川堤（荒川自然公園）,text_extraction,Keyword '荒川堤' found in amanogawa text
amanogawa,天の川,kitakoshigaya-motoarakawa,元荒川桜堤（北越谷）,origin_name,Origin name: variety '天の川' (amanogawa) origin matches '荒川'
amanogawa,天の川,walker-ar0202e25563,弘前公園(鷹揚公園)の桜,web_search,Web search: '天の川' at spot containing '弘前公園'
amanogawa,天の川,walker-ar0207e25667,花見山の桜,web_search,Web search: '天の川' at spot containing '花見山'
amanogawa,天の川,walker-ar0311e60429,元荒川の桜並木の桜,origin_name,Origin name: variety '天の川' (amanogawa) origin matches '荒川'
amanogawa,天の川,walker-ar0313e25816,新宿御苑の桜,web_search,Web search: 'アマノガワ' at spot containing '新宿御苑'
amanogawa,天の川,walker-ar0313e26530,舎人公園の桜,text_extraction,Keyword '東京都足立区' found in amanogawa text
amanogawa,天の川,walker-ar0313e60170,西新井大師の桜,text_extraction,Keyword '東京都足立区' found in amanogawa text
amanogawa,天の川,walker-ar0727e26135,造幣局　桜の通り抜け,web_search,Web search: '天の川' at spot containing '造幣局'
amanogawa,天の川,walker-ar0834e26242,造幣局広島支局 花のまわりみち,web_search,Web search: '天の川' at spot containing '造幣局'
amayadori,雨宿,arakawa-tsutsumi,荒川堤（荒川自然公園）,text_extraction,Keyword '荒川堤' found in amayadori text
amayadori,雨宿,kitakoshigaya-motoarakawa,元荒川桜堤（北越谷）,origin_name,Origin name: variety '雨宿' (amayadori) origin matches '荒川'
amayadori,雨宿,walker-ar0101e25542,松前公園の桜,web_search,Web search: '雨宿' at spot containing '松前公園'
amayadori,雨宿,walker-ar0311e60429,元荒川の桜並木の桜,origin_name,Origin name: variety '雨宿' (amayadori) origin matches '荒川'
amayadori,雨宿,walker-ar0313e25816,新宿御苑の桜,web_search,Web search: 'アマヤドリ' at spot containing '新宿御苑'
amayadori,雨宿,walker-ar0313e26530,舎人公園の桜,text_extraction,Keyword '東京都足立区' found in amayadori text
amayadori,雨宿,walker-ar0313e60170,西新井大師の桜,text_extraction,Keyword '東京都足立区' found in amayadori text
amayadori,雨宿,walker-ar0727e26135,造幣局　桜の通り抜け,web_search,Web search: '雨宿' at spot containing '造幣局'
amayadori,雨宿,walker-ar0834e26242,造幣局広島支局 花のまわりみち,web_search,Web search: '雨宿' at spot containing '造幣局'
america,アメリカ,walker-ar0313e25816,新宿御苑の桜,web_search,Web search: 'アメリカ' at spot containing '新宿御苑'
arakawanioi,荒川匂,arakawa-tsutsumi,荒川堤（荒川自然公園）,text_extraction,Keyword '荒川堤' found in arakawanioi text
arakawanioi,荒川匂,kitakoshigaya-motoarakawa,元荒川桜堤（北越谷）,origin_name,Origin name: variety '荒川匂' (arakawanioi) origin matches '荒川'
arakawanioi,荒川匂,walker-ar0311e60429,元荒川の桜並木の桜,origin_name,Origin name: variety '荒川匂' (arakawanioi) origin matches '荒川'
arakawanioi,荒川匂,walker-ar0313e26530,舎人公園の桜,text_extraction,Keyword '東京都足立区' found in arakawanioi text
arakawanioi,荒川匂,walker-ar0313e60170,西新井大師の桜,text_extraction,Keyword '東京都足立区' found in arakawanioi text
arashiyama,嵐山,arakawa-tsutsumi,荒川堤（荒川自然公園）,text_extraction,Keyword '荒川堤' found in arashiyama text
arashiyama,嵐山,kitakoshigaya-motoarakawa,元荒川桜堤（北越谷）,origin_name,Origin name: variety '嵐山' (arashiyama) origin matches '荒川'
arashiyama,嵐山,walker-ar0311e60429,元荒川の桜並木の桜,origin_name,Origin name: variety '嵐山' (arashiyama) origin matches '荒川'
arashiyama,嵐山,walker-ar0313e25816,新宿御苑の桜,web_search,Web search: 'アラシヤマ' at spot containing '新宿御苑'
arashiyama,嵐山,walker-ar0313e26530,舎人公園の桜,text_extraction,Keyword '東京都足立区' found in arashiyama text
arashiyama,嵐山,walker-ar0313e60170,西新井大師の桜,text_extraction,Keyword '東京都足立区' found in arashiyama text
aratama,新珠,walker-ar0101e25542,松前公園の桜,text_extraction,Keyword '松前公園' found in aratama text
ariake,有明,arakawa-tsutsumi,荒川堤（荒川自然公園）,text_extraction,Keyword '荒川堤' found in ariake text
